strategy,Oryx 2, ,,,,,,,SecureBillingEmail, ,,,,,,,SecureWebContainer, ,,,,,,,Wordpress3, ,,,,,,,Wordpress4, ,,,,,,,Wordpress5, ,,,,,,,Wordpress6, ,,,,,,,Wordpress7, ,,,,,,,Wordpress8, ,,,,,,,Wordpress9, ,,,,,,,Wordpress10, ,,,,,,,Wordpress11, ,,,,,,,Wordpress12, ,,,,,,
,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,
,Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs)
noSymBreaking-default-s-b,{'54.912'},0.12792182,{'54.912'},0.615303993,{'26.4'},13.18275571,{'26.4'},2171.033878,{'1.416'},0.324094057,{'1.012'},6.570881844,{'0.882'},113.4918401,{'0.862'},624.4935172,{'3.759'},3.11552906,{'2.676'},9.726123095,{'1.622'},2400.037846,,,{'1.777'},3.477044821,{'1.396'},381.4773481,{'1.26'},2402.116481,,,{'2.033'},7.750531673,{'1.652'},2402.224601,,,,,{'2.289'},71.62957001,,,,,,,{'2.417'},45.26530886,,,,,,,{'2.673'},188.1925969,,,,,,,{'2.929'},1443.768722,,,,,,,{'3.057'},524.0302382,,,,,,,{'3.313'},2400.057585,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-no-s-b,{'54.912'},0.135332108,{'54.912'},0.443154335,{'26.4'},13.26359224,{'26.4'},2119.247535,{'1.416'},0.321306705,{'1.012'},2.431146145,{'0.882'},130.278379,{'0.862'},621.719393,{'3.759'},2.914975882,{'2.676'},5.863004208,{'1.622'},2400.051995,,,{'1.777'},3.297501802,{'1.396'},400.4815998,{'1.26'},2401.396975,,,{'2.033'},8.014277935,{'1.652'},2402.163974,,,,,{'2.289'},70.36731386,,,,,,,{'2.417'},46.13617086,,,,,,,{'2.673'},194.3093989,,,,,,,{'2.929'},1466.445465,,,,,,,{'3.057'},544.9597931,,,,,,,{'3.313'},2400.036909,,,,,,,{'3.569'},2403.604778,,,,,,,,,,,,,,
noSymBreaking-reduce-set-lpmethod-default-s-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-1,{'54.912'},0.130930901,{'54.912'},0.442399979,{'26.4'},12.639364,{'26.4'},2162.966229,{'1.416'},0.343797922,{'1.012'},2.419358969,{'0.882'},113.761173,{'0.862'},640.8272738,{'3.759'},2.952232122,{'2.676'},5.855579138,{'1.622'},2400.019881,{'1.582'},2400.026376,{'1.777'},3.343336821,{'1.396'},407.2944503,{'1.26'},2401.460384,{'1.21'},2402.35904,{'2.033'},7.792404175,{'1.652'},2401.995574,,,,,{'2.289'},71.47838831,,,,,,,{'2.417'},45.68310714,,,,,,,{'2.673'},186.5264258,,,,,,,{'2.929'},1503.686472,,,,,,,{'3.057'},542.5572829,,,,,,,{'3.313'},2400.069666,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-2,{'54.912'},0.110066175,{'54.912'},0.156152248,{'39.516'},0.866899967,{'29.184'},2.781013012,{'1.416'},0.340120077,{'1.012'},1.198138237,{'0.882'},4.72673893,{'0.914'},15.546206,{'3.772'},0.571010113,{'2.676'},2.375421047,{'1.642'},8.249526024,{'1.622'},11.1458621,{'1.777'},3.145997047,{'1.396'},3.790858984,{'1.26'},19.34436202,{'1.21'},24.90116,{'2.033'},7.286875248,{'1.652'},101.903244,{'1.512'},2277.456587,{'1.442'},966.5985479,{'2.289'},31.48474193,{'1.908'},329.604203,{'1.764'},2402.601109,{'1.674'},2405.17972,{'2.417'},69.25654197,{'2.036'},1759.019289,,,,,{'2.673'},124.4942882,{'2.292'},2401.19744,,,,,{'2.929'},472.1746597,,,,,,,{'3.057'},260.2518179,,,,,,,{'3.313'},2401.06839,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-3,{'54.912'},0.110799074,{'54.912'},0.142534018,{'39.516'},0.935887098,{'31.968'},2.802388191,{'1.416'},0.388004065,{'1.012'},1.269124269,{'0.902'},3.632727623,{'0.909'},12.21009111,{'3.759'},1.044322014,{'2.676'},3.50240469,{'2.179'},4.004992962,{'2.143'},10.37672091,{'1.777'},2.753139257,{'1.396'},5.152197838,{'1.26'},19.19956303,{'1.21'},25.78453398,{'2.033'},1.152421951,{'1.652'},48.34752774,{'1.512'},474.381695,{'1.442'},832.1580801,{'2.289'},1.410031796,{'1.908'},96.15199208,{'1.764'},2117.583034,{'1.674'},2400.048009,{'2.417'},1.566142797,{'2.036'},293.075984,{'1.89'},2403.386724,,,{'2.673'},2.276359797,{'2.292'},68.92477989,,,,,{'2.929'},2.034916878,{'2.548'},2401.14018,,,,,{'3.057'},2.641038656,,,,,,,{'3.313'},9.479952812,,,,,,,{'3.569'},10.57757902,,,,,,,{'3.697'},11.68413782,,,,,,
noSymBreaking-s-b-opt-4,{'54.912'},0.126556158,{'54.912'},0.136461973,{'54.912'},0.86173296,{'54.912'},2.813098192,{'1.416'},0.077955008,{'1.012'},0.182578325,{'0.886'},0.452363968,{'1.236'},1.939124107,{'3.785'},0.999896765,{'22.464'},0.091960907,{'2.29'},2.459393024,{'2.672'},5.088947058,{'1.777'},1.117769957,{'1.777'},1.683644295,{'1.846'},1.286375284,{'1.931'},3.47710371,{'2.033'},1.331532001,{'2.033'},2.20983386,{'2.102'},2.504179001,{'2.221'},4.702926159,{'2.289'},1.658782005,{'2.289'},8.949206114,{'2.358'},13.15801692,{'2.511'},12.30452299,{'2.417'},1.910860062,{'2.417'},29.78082395,{'2.486'},6.212090969,{'2.656'},21.66582513,{'2.673'},3.471745014,{'2.673'},15.42510009,{'2.742'},10.36577201,{'2.946'},69.08743286,{'2.929'},3.209084272,{'2.929'},228.7407029,{'2.998'},14.99473405,{'3.236'},55.0407989,{'3.057'},3.573917866,{'3.057'},19.51531601,{'3.126'},28.49873614,{'3.381'},77.82221079,{'3.313'},6.970728874,{'3.313'},217.7779601,{'3.382'},14.72840333,{'3.671'},1449.12485,{'3.569'},2.14537096,{'3.569'},3.874411821,{'3.638'},5.24697113,{'3.961'},22.59624481,{'3.697'},3.728595972,{'3.697'},77.20703673,{'3.766'},42.19851613,{'4.106'},2400.974472
noSymBreaking-s-b-opt-5,{'54.912'},0.111184835,{'54.912'},0.143405199,{'39.516'},0.867147923,{'31.968'},2.75496769,{'1.416'},0.397944927,{'1.012'},1.21065402,{'0.884'},2.407979012,{'0.909'},12.03555202,{'3.759'},1.079450846,{'2.676'},3.497966766,{'2.05'},3.236495018,{'2.143'},12.79234505,{'1.777'},5.265726328,{'1.396'},3.085382223,{'1.26'},14.49529004,{'1.21'},19.67052722,{'2.033'},1.319704056,{'1.652'},14.94646907,{'1.512'},476.114243,{'1.442'},846.864351,{'2.289'},1.560660839,{'1.908'},108.6010051,{'1.764'},2400.877071,{'1.674'},2403.546717,{'2.417'},1.690119028,{'2.036'},32.66188812,,,,,{'2.673'},2.016842842,{'2.292'},101.4328442,,,,,{'2.929'},2.921689034,{'2.548'},336.9690261,,,,,{'3.057'},2.629188061,{'2.676'},787.0611823,,,,,{'3.313'},11.05925083,{'2.932'},2400.032562,,,,,{'3.569'},2.119105816,{'3.188'},2409.998099,,,,,{'3.697'},11.753088,,,,,,
FV,{'54.912'},0.17491889,{'54.912'},0.541313887,{'26.4'},2.82480216,{'26.4'},9.077733994,{'1.416'},0.072760105,{'1.012'},0.105170965,{'0.882'},1.244813919,{'0.862'},6.29097414,{'3.759'},0.051182032,{'2.676'},0.096079826,{'1.622'},1.192282915,{'1.582'},6.945688725,{'1.777'},0.382945061,{'1.396'},1.682957888,{'1.26'},128.3648608,{'1.21'},2407.076077,{'2.033'},1.777722836,{'1.652'},2.801437855,{'1.512'},2400.034232,,,{'2.289'},1.914962769,{'1.908'},4.952378273,,,,,{'2.417'},2.139771938,{'2.036'},3.800033808,,,,,{'2.673'},2.28415823,{'2.292'},9.557207584,,,,,{'2.929'},4.822880983,{'2.548'},32.21567583,,,,,{'3.057'},2.532045126,{'2.676'},32.35544705,,,,,{'3.313'},9.024275064,{'2.932'},50.63470507,,,,,{'3.569'},11.66549897,{'3.188'},80.6458621,,,,,{'3.697'},7.056172848,{'3.316'},185.2841601,,,,
