strategy,Oryx 2, ,,,,,,,SecureBillingEmail, ,,,,,,,SecureWebContainer, ,,,,,,,Wordpress3, ,,,,,,,Wordpress4, ,,,,,,,Wordpress5, ,,,,,,,Wordpress6, ,,,,,,,Wordpress7, ,,,,,,,Wordpress8, ,,,,,,,Wordpress9, ,,,,,,,Wordpress10, ,,,,,,,Wordpress11, ,,,,,,,Wordpress12, ,,,,,,
,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,
,Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs)
noSymBreaking-default-s-b,{'54.912'},0.806372881,{'54.912'},1.351626158,{'26.4'},2400.064615,,,{'1.416'},0.62883687,{'1.012'},4.875890017,{'0.882'},933.1559453,{'0.862'},2401.867338,{'3.759'},9.752703905,{'2.676'},279.699789,{'1.622'},2400.651868,,,{'1.777'},31.36599803,{'1.396'},2400.040299,,,,,{'2.033'},227.156744,,,,,,,{'2.289'},2400.021302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-no-s-b,{'54.912'},0.447802067,{'54.912'},0.507954121,{'26.4'},2400.027471,,,{'1.416'},0.448811054,{'1.012'},3.321218014,{'0.882'},725.4937358,{'0.862'},2401.168812,{'3.759'},11.25662208,{'2.676'},253.2433281,{'1.622'},2402.222129,,,{'1.777'},36.57339096,{'1.396'},2400.732695,,,,,{'2.033'},598.4884789,{'1.652'},2402.382234,,,,,{'2.289'},2400.030154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-reduce-set-lpmethod-default-s-b,{'54.912'},0.563438892,{'54.912'},0.597430229,{'26.4'},2400.09323,,,{'1.416'},0.479174137,{'1.012'},3.604334831,{'0.882'},2400.071196,,,{'3.759'},26.66088295,{'2.676'},173.8534229,{'1.622'},2400.039328,,,{'1.777'},34.85036802,{'1.396'},2400.01783,,,,,{'2.033'},213.189889,,,,,,,{'2.289'},1787.18268,,,,,,,{'2.417'},2400.016944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-1,{'54.912'},0.348788977,{'54.912'},0.514660835,{'26.4'},2400.029011,,,{'1.416'},0.454681873,{'1.012'},3.402745962,{'0.882'},741.7201259,{'0.862'},2401.056266,{'3.759'},13.84073067,{'2.676'},259.9063289,{'1.622'},2401.104239,,,{'1.777'},41.71525717,{'1.396'},2401.041468,,,,,{'2.033'},610.2041631,,,,,,,{'2.289'},2400.017479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-2,{'54.912'},0.71420598,{'54.912'},0.86619091,{'26.4'},2401.416865,,,{'1.416'},0.350625992,{'1.012'},3.470618725,{'0.882'},712.6532211,{'0.862'},2401.144527,{'3.759'},8.756049871,{'2.676'},177.279321,{'1.622'},2401.141682,,,{'1.777'},25.52626204,{'1.396'},2400.995093,,,,,{'2.033'},88.86818695,,,,,,,{'2.289'},525.596796,,,,,,,{'2.417'},2401.924576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-3,{'54.912'},0.440892935,{'54.912'},0.838984013,{'26.4'},2401.070905,,,{'1.416'},0.384334803,{'1.012'},3.121048927,{'0.882'},629.742197,{'0.862'},2401.27423,{'3.759'},5.737123013,{'2.676'},182.9869821,{'1.622'},2401.098829,,,{'1.777'},17.45834184,{'1.396'},2401.018754,,,,,{'2.033'},145.2254751,,,,,,,{'2.289'},2400.014898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-4,{'54.912'},0.512050867,{'54.912'},0.790613174,{'26.4'},2401.485756,,,{'1.416'},0.077980757,{'1.012'},0.402917862,{'0.882'},17.77633667,{'0.862'},594.8285418,{'3.759'},0.280171871,{'2.676'},1.044142962,{'1.622'},44.69379401,{'1.582'},241.5618012,{'1.777'},17.37753987,{'1.396'},2400.012296,,,,,{'2.033'},338.537683,,,,,,,{'2.289'},2400.014849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSymBreaking-s-b-opt-5,{'54.912'},0.511581898,{'54.912'},0.850316763,{'26.4'},2400.034124,,,{'1.416'},0.393844128,{'1.012'},4.523431778,{'0.882'},622.720695,{'0.862'},2401.494432,{'3.759'},6.003341913,{'2.676'},162.7864618,{'1.622'},2401.344893,,,{'1.777'},19.59382606,{'1.396'},2400.016334,,,,,{'2.033'},143.0088758,{'1.652'},2401.985918,,,,,{'2.289'},2400.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FV,{'54.912'},0.063018799,{'54.912'},0.22808814,{'26.4'},1182.17158,{'26.4'},2400.083784,{'1.416'},0.068312168,{'1.012'},0.408704996,{'0.882'},43.73775482,{'0.862'},2400.09469,{'3.759'},0.182554722,{'2.676'},0.655740976,{'1.622'},2330.506583,{'1.726'},2404.054327,{'1.777'},1.307202101,{'1.396'},159.7606008,{'1.675'},2401.406186,,,{'2.033'},3.082290888,{'1.652'},2400.036069,,,,,{'2.289'},6.685877085,,,,,,,{'2.417'},11.76894021,,,,,,,{'2.673'},10.70893192,,,,,,,{'2.929'},1013.901783,,,,,,,{'3.057'},22.97731376,,,,,,,{'3.313'},2135.849312,,,,,,,{'3.569'},94.6198082,,,,,,,{'3.697'},2403.920893,,,,,,
