strategy;Oryx 2; ;;;;;;;SecureBillingEmail; ;;;;;;;SecureWebContainer; ;;;;;;;Wordpress3; ;;;;;;;Wordpress4; ;;;;;;;Wordpress5; ;;;;;;;Wordpress6; ;;;;;;;Wordpress7; ;;;;;;;Wordpress8; ;;;;;;;Wordpress9; ;;;;;;;Wordpress10; ;;;;;;;Wordpress11; ;;;;;;;Wordpress12; ;;;;;;
;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;
;Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs)
noSymBreaking-default-s-b;{'54.912'};0.12792181968688965;{'54.912'};0.6153039932250977;{'26.4'};13.182755708694458;{'26.4'};2171.0338780879974;{'1.416'};0.3240940570831299;{'1.012'};6.5708818435668945;{'0.882'};113.49184012413025;{'0.862'};624.4935171604156;{'3.759'};3.1155290603637695;{'2.676'};9.726123094558716;{'1.622'};2400.0378460884094;;;{'1.777'};3.4770448207855225;{'1.396'};381.47734808921814;{'1.26'};2402.11648106575;;;{'2.033'};7.7505316734313965;{'1.652'};2402.2246012687683;;;;;{'2.289'};71.62957000732422;;;;;;;{'2.417'};45.26530885696411;;;;;;;{'2.673'};188.19259691238403;;;;;;;{'2.929'};1443.768721818924;;;;;;;{'3.057'};524.0302381515503;;;;;;;{'3.313'};2400.0575847625732;;;;;;;;;;;;;;;;;;;;;;
noSymBreaking-no-s-b;{'54.912'};0.1353321075439453;{'54.912'};0.44315433502197266;{'26.4'};13.26359224319458;{'26.4'};2119.2475349903107;{'1.416'};0.3213067054748535;{'1.012'};2.4311461448669434;{'0.882'};130.27837896347046;{'0.862'};621.7193930149078;{'3.759'};2.914975881576538;{'2.676'};5.863004207611084;{'1.622'};2400.0519948005676;;;{'1.777'};3.297501802444458;{'1.396'};400.48159980773926;{'1.26'};2401.396975040436;;;{'2.033'};8.014277935028076;{'1.652'};2402.1639738082886;;;;;{'2.289'};70.36731386184692;;;;;;;{'2.417'};46.136170864105225;;;;;;;{'2.673'};194.30939888954163;;;;;;;{'2.929'};1466.4454650878906;;;;;;;{'3.057'};544.9597930908203;;;;;;;{'3.313'};2400.0369091033936;;;;;;;{'3.569'};2403.6047780513763;;;;;;;;;;;;;;
noSymBreaking-reduce-set-lpmethod-default-s-b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
noSymBreaking-s-b-opt-1;{'54.912'};0.13093090057373047;{'54.912'};0.4423999786376953;{'26.4'};12.639364004135132;{'26.4'};2162.9662289619446;{'1.416'};0.3437979221343994;{'1.012'};2.419358968734741;{'0.882'};113.76117300987244;{'0.862'};640.8272738456726;{'3.759'};2.9522321224212646;{'2.676'};5.855579137802124;{'1.622'};2400.0198810100555;{'1.582'};2400.0263760089874;{'1.777'};3.343336820602417;{'1.396'};407.29445028305054;{'1.26'};2401.4603838920593;{'1.21'};2402.3590400218964;{'2.033'};7.7924041748046875;{'1.652'};2401.9955739974976;;;;;{'2.289'};71.47838830947876;;;;;;;{'2.417'};45.683107137680054;;;;;;;{'2.673'};186.52642583847046;;;;;;;{'2.929'};1503.686471939087;;;;;;;{'3.057'};542.5572829246521;;;;;;;{'3.313'};2400.0696659088135;;;;;;;;;;;;;;;;;;;;;;
noSymBreaking-s-b-opt-2;{'54.912'};0.11006617546081543;{'54.912'};0.15615224838256836;{'39.516'};0.8668999671936035;{'29.184'};2.781013011932373;{'1.416'};0.3401200771331787;{'1.012'};1.1981382369995117;{'0.882'};4.726738929748535;{'0.914'};15.546205997467041;{'3.772'};0.5710101127624512;{'2.676'};2.3754210472106934;{'1.642'};8.249526023864746;{'1.622'};11.145862102508545;{'1.777'};3.1459970474243164;{'1.396'};3.7908589839935303;{'1.26'};19.344362020492554;{'1.21'};24.90116000175476;{'2.033'};7.286875247955322;{'1.652'};101.90324401855469;{'1.512'};2277.456587076187;{'1.442'};966.5985479354858;{'2.289'};31.484741926193237;{'1.908'};329.60420298576355;{'1.764'};2402.601108789444;{'1.674'};2405.1797199249268;{'2.417'};69.25654196739197;{'2.036'};1759.019288778305;;;;;{'2.673'};124.49428820610046;{'2.292'};2401.1974401474;;;;;{'2.929'};472.1746597290039;;;;;;;{'3.057'};260.25181794166565;;;;;;;{'3.313'};2401.068389892578;;;;;;;;;;;;;;;;;;;;;;
noSymBreaking-s-b-opt-3;{'54.912'};0.11079907417297363;{'54.912'};0.1425340175628662;{'39.516'};0.9358870983123779;{'31.968'};2.8023881912231445;{'1.416'};0.3880040645599365;{'1.012'};1.2691242694854736;{'0.902'};3.63272762298584;{'0.909'};12.21009111404419;{'3.759'};1.0443220138549805;{'2.676'};3.5024046897888184;{'2.179'};4.004992961883545;{'2.143'};10.376720905303955;{'1.777'};2.7531392574310303;{'1.396'};5.15219783782959;{'1.26'};19.199563026428223;{'1.21'};25.784533977508545;{'2.033'};1.1524219512939453;{'1.652'};48.347527742385864;{'1.512'};474.38169503211975;{'1.442'};832.1580801010132;{'2.289'};1.410031795501709;{'1.908'};96.15199208259583;{'1.764'};2117.5830340385437;{'1.674'};2400.048008918762;{'2.417'};1.5661427974700928;{'2.036'};293.07598400115967;{'1.89'};2403.3867242336273;;;{'2.673'};2.276359796524048;{'2.292'};68.92477989196777;;;;;{'2.929'};2.034916877746582;{'2.548'};2401.140179872513;;;;;{'3.057'};2.641038656234741;;;;;;;{'3.313'};9.479952812194824;;;;;;;{'3.569'};10.577579021453857;;;;;;;{'3.697'};11.68413782119751;;;;;;
noSymBreaking-s-b-opt-4;{'54.912'};0.1265561580657959;{'54.912'};0.13646197319030762;{'54.912'};0.8617329597473145;{'54.912'};2.813098192214966;{'1.416'};0.07795500755310059;{'1.012'};0.18257832527160645;{'0.886'};0.4523639678955078;{'1.236'};1.9391241073608398;{'3.785'};0.999896764755249;{'22.464'};0.09196090698242188;{'2.29'};2.45939302444458;{'2.672'};5.088947057723999;{'1.777'};1.1177699565887451;{'1.777'};1.6836442947387695;{'1.846'};1.2863752841949463;{'1.931'};3.4771037101745605;{'2.033'};1.3315320014953613;{'2.033'};2.209833860397339;{'2.102'};2.504179000854492;{'2.221'};4.702926158905029;{'2.289'};1.6587820053100586;{'2.289'};8.949206113815308;{'2.358'};13.158016920089722;{'2.511'};12.30452299118042;{'2.417'};1.9108600616455078;{'2.417'};29.780823945999146;{'2.486'};6.212090969085693;{'2.656'};21.665825128555298;{'2.673'};3.471745014190674;{'2.673'};15.425100088119507;{'2.742'};10.365772008895874;{'2.946'};69.08743286132812;{'2.929'};3.2090842723846436;{'2.929'};228.74070286750793;{'2.998'};14.994734048843384;{'3.236'};55.0407989025116;{'3.057'};3.573917865753174;{'3.057'};19.515316009521484;{'3.126'};28.498736143112183;{'3.381'};77.8222107887268;{'3.313'};6.970728874206543;{'3.313'};217.77796006202698;{'3.382'};14.728403329849243;{'3.671'};1449.1248497962952;{'3.569'};2.1453709602355957;{'3.569'};3.8744118213653564;{'3.638'};5.246971130371094;{'3.961'};22.59624481201172;{'3.697'};3.7285959720611572;{'3.697'};77.20703673362732;{'3.766'};42.19851613044739;{'4.106'};2400.9744720458984
noSymBreaking-s-b-opt-5;{'54.912'};0.11118483543395996;{'54.912'};0.14340519905090332;{'39.516'};0.8671479225158691;{'31.968'};2.75496768951416;{'1.416'};0.39794492721557617;{'1.012'};1.2106540203094482;{'0.884'};2.4079790115356445;{'0.909'};12.035552024841309;{'3.759'};1.0794508457183838;{'2.676'};3.497966766357422;{'2.05'};3.236495018005371;{'2.143'};12.79234504699707;{'1.777'};5.265726327896118;{'1.396'};3.0853822231292725;{'1.26'};14.495290040969849;{'1.21'};19.67052721977234;{'2.033'};1.3197040557861328;{'1.652'};14.946469068527222;{'1.512'};476.1142430305481;{'1.442'};846.8643510341644;{'2.289'};1.5606608390808105;{'1.908'};108.60100507736206;{'1.764'};2400.8770706653595;{'1.674'};2403.5467171669006;{'2.417'};1.6901190280914307;{'2.036'};32.661888122558594;;;;;{'2.673'};2.016842842102051;{'2.292'};101.4328441619873;;;;;{'2.929'};2.921689033508301;{'2.548'};336.9690260887146;;;;;{'3.057'};2.629188060760498;{'2.676'};787.0611822605133;;;;;{'3.313'};11.059250831604004;{'2.932'};2400.0325622558594;;;;;{'3.569'};2.119105815887451;{'3.188'};2409.998099088669;;;;;{'3.697'};11.753087997436523;;;;;;
FV;{'54.912'};0.17491888999938965;{'54.912'};0.541313886642456;{'26.4'};2.8248021602630615;{'26.4'};9.077733993530273;{'1.416'};0.07276010513305664;{'1.012'};0.10517096519470215;{'0.882'};1.2448139190673828;{'0.862'};6.290974140167236;{'3.759'};0.05118203163146973;{'2.676'};0.09607982635498047;{'1.622'};1.1922829151153564;{'1.582'};6.945688724517822;{'1.777'};0.38294506072998047;{'1.396'};1.6829578876495361;{'1.26'};128.36486077308655;{'1.21'};2407.0760769844055;{'2.033'};1.7777228355407715;{'1.652'};2.8014378547668457;{'1.512'};2400.0342321395874;;;{'2.289'};1.9149627685546875;{'1.908'};4.952378273010254;;;;;{'2.417'};2.1397719383239746;{'2.036'};3.8000338077545166;;;;;{'2.673'};2.284158229827881;{'2.292'};9.557207584381104;;;;;{'2.929'};4.822880983352661;{'2.548'};32.215675830841064;;;;;{'3.057'};2.5320451259613037;{'2.676'};32.3554470539093;;;;;{'3.313'};9.024275064468384;{'2.932'};50.63470506668091;;;;;{'3.569'};11.665498971939087;{'3.188'};80.64586210250854;;;;;{'3.697'};7.056172847747803;{'3.316'};185.2841601371765;;;;
