strategy;Oryx 2; ;;;;;;;SecureBillingEmail; ;;;;;;;SecureWebContainer; ;;;;;;;Wordpress3; ;;;;;;;Wordpress4; ;;;;;;;Wordpress5; ;;;;;;;Wordpress6; ;;;;;;;Wordpress7; ;;;;;;;Wordpress8; ;;;;;;;Wordpress9; ;;;;;;;Wordpress10; ;;;;;;;Wordpress11; ;;;;;;;Wordpress12; ;;;;;;
;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;
;Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs)
noSymBreaking;{'54.912'};14.016690969467163;{'54.912'};11.969324111938477;{'26.4'};119.28529500961304;{'26.4'};385.46127820014954;{'1.416'};0.06272697448730469;{'1.012'};0.12941384315490723;{'0.882'};1.7715237140655518;{'0.862'};3.4302420616149902;{'3.759'};0.14820098876953125;{'2.676'};0.260159969329834;{'1.622'};5.225640058517456;{'1.582'};15.895756721496582;{'1.777'};1.4516229629516602;{'1.396'};5.531620264053345;{'1.26'};225.52717638015747;{'1.21'};419.24406027793884;{'2.033'};49.07411289215088;{'1.652'};472.0953960418701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FV;{'54.912'};0.14198684692382812;{'54.912'};0.32122111320495605;{'26.4'};15.0160551071167;{'26.4'};41.024965047836304;{'1.416'};0.037808895111083984;{'1.012'};0.07054400444030762;{'0.882'};0.9074709415435791;{'0.862'};2.9713289737701416;{'3.759'};0.04736018180847168;{'2.676'};0.09300732612609863;{'1.622'};1.2156639099121094;{'1.582'};2.1323440074920654;{'1.777'};0.15815401077270508;{'1.396'};0.4441549777984619;{'1.26'};9.927438974380493;{'1.21'};21.708606004714966;{'2.033'};0.31502509117126465;{'1.652'};1.2977609634399414;{'1.512'};39.3842830657959;{'1.442'};116.49098896980286;{'2.289'};0.7277190685272217;{'1.908'};3.4411258697509766;{'1.764'};151.9505820274353;{'1.674'};641.3569550514221;{'2.417'};0.8893392086029053;{'2.036'};3.9628727436065674;{'1.89'};408.70944476127625;{'1.79'};1392.1493906974792;{'2.673'};1.9821748733520508;{'2.292'};14.32248592376709;;;;;{'2.929'};11.946458101272583;{'2.548'};100.85242891311646;;;;;{'3.057'};14.683714866638184;{'2.676'};156.16697597503662;;;;;{'3.313'};45.75027680397034;{'2.932'};626.9284229278564;;;;;{'3.569'};58.71467304229736;{'3.188'};3057.5755608081818;;;;;{'3.697'};128.13967180252075;;;;;;
L;{'54.912'};0.5767202377319336;{'54.912'};1.0055770874023438;{'26.4'};10.288288593292236;{'26.4'};34.22789192199707;{'1.416'};0.05772900581359863;{'1.012'};0.10881829261779785;{'0.882'};1.4772050380706787;{'0.862'};3.7677597999572754;{'3.759'};0.07408499717712402;{'2.676'};0.1499330997467041;{'1.622'};2.5906009674072266;{'1.582'};4.1495041847229;{'1.777'};0.36298394203186035;{'1.396'};0.39702415466308594;{'1.26'};6.2325379848480225;{'1.21'};24.51463508605957;{'2.033'};1.4512550830841064;{'1.652'};2.253139019012451;{'1.512'};21.085689067840576;{'1.442'};60.01730298995972;{'2.289'};4.420068740844727;{'1.908'};8.067101001739502;{'1.764'};88.28987073898315;{'1.674'};150.45706486701965;{'2.417'};7.760004997253418;{'2.036'};13.322900772094727;{'1.89'};102.34126377105713;{'1.79'};305.982164144516;{'2.673'};30.933385133743286;{'2.292'};110.1050009727478;{'2.142'};1472.0722239017487;{'2.022'};2050.3540410995483;{'2.929'};623.4933712482452;;;;;;;{'3.057'};528.571845293045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LX;{'54.912'};0.1897120475769043;{'54.912'};0.2306981086730957;{'26.4'};3.1351568698883057;{'26.4'};9.57526707649231;{'1.416'};0.03779101371765137;{'1.012'};0.0755300521850586;{'0.882'};1.0990221500396729;{'0.862'};3.0890839099884033;{'3.759'};0.05305290222167969;{'2.676'};0.10204601287841797;{'1.622'};1.3626291751861572;{'1.582'};3.5597071647644043;{'1.777'};0.11271286010742188;{'1.396'};0.25060105323791504;{'1.26'};3.356553077697754;{'1.21'};7.0345847606658936;{'2.033'};0.17208600044250488;{'1.652'};0.3905160427093506;{'1.512'};6.909940958023071;{'1.442'};16.56384301185608;{'2.289'};0.2749640941619873;{'1.908'};0.5806331634521484;{'1.764'};12.25904893875122;{'1.674'};24.71121072769165;{'2.417'};0.3178269863128662;{'2.036'};0.8361728191375732;{'1.89'};15.940202951431274;{'1.79'};25.09821367263794;{'2.673'};0.42440199851989746;{'2.292'};1.1494829654693604;{'2.142'};17.393630981445312;{'2.022'};40.76604700088501;{'2.929'};0.8796720504760742;{'2.548'};2.684169054031372;{'2.394'};65.33164167404175;{'2.254'};116.07835817337036;{'3.057'};0.9977459907531738;{'2.676'};2.43734073638916;{'2.52'};47.2889621257782;{'2.37'};137.83155608177185;{'3.313'};1.3711698055267334;{'2.932'};3.8016960620880127;{'2.772'};82.2275550365448;{'2.602'};176.43053269386292;{'3.569'};1.542050838470459;{'3.188'};5.029743909835815;{'3.024'};103.81310987472534;{'2.834'};209.40543675422668;{'3.697'};1.6118059158325195;{'3.316'};4.829661130905151;{'3.15'};106.12057280540466;{'2.95'};266.28318905830383
PR;{'54.912'};0.1921379566192627;{'54.912'};0.3542337417602539;{'26.4'};3.4972128868103027;{'26.4'};12.854781866073608;{'1.416'};0.05115008354187012;{'1.012'};0.06999802589416504;{'0.882'};0.671785831451416;{'0.862'};1.6704771518707275;{'3.759'};0.08204269409179688;{'2.676'};0.13912296295166016;{'1.622'};1.0398201942443848;{'1.582'};2.550163984298706;{'1.777'};0.1106109619140625;{'1.396'};0.21910715103149414;{'1.26'};1.7829959392547607;{'1.21'};4.088778972625732;{'2.033'};0.14602994918823242;{'1.652'};0.3507242202758789;{'1.512'};3.52908992767334;{'1.442'};5.761308193206787;{'2.289'};0.23952889442443848;{'1.908'};0.609515905380249;{'1.764'};3.8792922496795654;{'1.674'};10.364068031311035;{'2.417'};0.2141401767730713;{'2.036'};0.5959169864654541;{'1.89'};7.801794052124023;{'1.79'};19.08520197868347;{'2.673'};0.41979026794433594;{'2.292'};1.617150068283081;{'2.142'};10.278515100479126;{'2.022'};38.221961975097656;{'2.929'};1.007214069366455;{'2.548'};9.048509120941162;{'2.394'};181.70897388458252;{'2.254'};213.01040315628052;{'3.057'};0.8561639785766602;{'2.676'};11.928909063339233;{'2.52'};158.21608686447144;{'2.37'};464.1942400932312;{'3.313'};5.950242042541504;{'2.932'};81.74674582481384;{'2.772'};781.7984566688538;{'2.602'};1141.2405197620392;{'3.569'};18.2100989818573;{'3.188'};583.9161078929901;;;;;{'3.697'};39.28667616844177;{'3.316'};287.56451988220215;;;;
FVL;{'54.912'};0.19454717636108398;{'54.912'};0.38609981536865234;{'26.4'};6.936731815338135;{'26.4'};18.195747137069702;{'1.416'};0.028118133544921875;{'1.012'};0.07921290397644043;{'0.882'};0.8488950729370117;{'0.862'};2.134100914001465;{'3.759'};0.051928043365478516;{'2.676'};0.10462212562561035;{'1.622'};1.214534044265747;{'1.582'};2.573557138442993;{'1.777'};0.1434493064880371;{'1.396'};0.30820608139038086;{'1.26'};3.9325509071350098;{'1.21'};13.663609027862549;{'2.033'};0.25850391387939453;{'1.652'};0.5815191268920898;{'1.512'};7.985141754150391;{'1.442'};26.63176393508911;{'2.289'};0.3516390323638916;{'1.908'};0.9128067493438721;{'1.764'};14.837608814239502;{'1.674'};38.1999032497406;{'2.417'};0.44443702697753906;{'2.036'};1.0935001373291016;{'1.89'};19.167653799057007;{'1.79'};56.61251521110535;{'2.673'};0.5329759120941162;{'2.292'};1.5047969818115234;{'2.142'};31.28385615348816;{'2.022'};73.00000882148743;{'2.929'};2.0665347576141357;{'2.548'};4.752028942108154;{'2.394'};116.95034909248352;{'2.254'};387.2779369354248;{'3.057'};2.0238919258117676;{'2.676'};6.303338050842285;{'2.52'};135.88622999191284;{'2.37'};420.29802083969116;{'3.313'};2.1387929916381836;{'2.932'};5.507958173751831;{'2.772'};193.44217801094055;{'2.602'};851.2866189479828;{'3.569'};4.985576868057251;{'3.188'};13.520117998123169;{'3.024'};200.377760887146;{'2.834'};863.6979193687439;{'3.697'};4.045831918716431;{'3.316'};11.68372368812561;{'3.15'};366.56706714630127;{'2.95'};1033.913598060608
FVLX;{'54.912'};0.151292085647583;{'54.912'};0.22711706161499023;{'26.4'};3.279850959777832;{'26.4'};12.952539920806885;{'1.416'};0.03535318374633789;{'1.012'};0.0642249584197998;{'0.882'};0.8831460475921631;{'0.862'};2.885861873626709;{'3.759'};0.036437273025512695;{'2.676'};0.08303523063659668;{'1.622'};1.2837600708007812;{'1.582'};2.442941904067993;{'1.777'};0.10144281387329102;{'1.396'};0.2348628044128418;{'1.26'};3.5840039253234863;{'1.21'};8.479461193084717;{'2.033'};0.18646621704101562;{'1.652'};0.43918490409851074;{'1.512'};8.21225094795227;{'1.442'};14.00459909439087;{'2.289'};0.317080020904541;{'1.908'};0.6813631057739258;{'1.764'};12.40375304222107;{'1.674'};22.484992027282715;{'2.417'};0.34773802757263184;{'2.036'};0.6646199226379395;{'1.89'};12.579269886016846;{'1.79'};32.71517300605774;{'2.673'};0.46651601791381836;{'2.292'};1.1984970569610596;{'2.142'};20.215630054473877;{'2.022'};52.313791036605835;{'2.929'};0.9526209831237793;{'2.548'};2.4856109619140625;{'2.394'};62.55993103981018;{'2.254'};113.6684582233429;{'3.057'};0.9334361553192139;{'2.676'};2.58935284614563;{'2.52'};45.817097902297974;{'2.37'};125.04810190200806;{'3.313'};1.349614143371582;{'2.932'};4.592607021331787;{'2.772'};71.77731776237488;{'2.602'};192.59571194648743;{'3.569'};1.8831818103790283;{'3.188'};4.615520000457764;{'3.024'};79.84507489204407;{'2.834'};188.94409608840942;{'3.697'};1.5038411617279053;{'3.316'};5.421969890594482;{'3.15'};111.85937523841858;{'2.95'};217.10553693771362
FVPR;{'54.912'};0.1369330883026123;{'54.912'};0.22850489616394043;{'26.4'};3.1654129028320312;{'26.4'};12.998859882354736;{'1.416'};0.04398608207702637;{'1.012'};0.06404685974121094;{'0.882'};1.1643061637878418;{'0.862'};2.2394981384277344;{'3.759'};0.050296783447265625;{'2.676'};0.08396315574645996;{'1.622'};1.2227990627288818;{'1.582'};2.791266918182373;{'1.777'};0.07125616073608398;{'1.396'};0.16828417778015137;{'1.26'};1.7812669277191162;{'1.21'};6.453479766845703;{'2.033'};0.1130821704864502;{'1.652'};0.21775484085083008;{'1.512'};2.7392780780792236;{'1.442'};8.531239032745361;{'2.289'};0.18812274932861328;{'1.908'};0.38611292839050293;{'1.764'};4.951085805892944;{'1.674'};12.762279987335205;{'2.417'};0.24404096603393555;{'2.036'};0.4114570617675781;{'1.89'};5.5648109912872314;{'1.79'};12.249872207641602;{'2.673'};0.28772902488708496;{'2.292'};0.4515409469604492;{'2.142'};8.159491062164307;{'2.022'};22.81483483314514;{'2.929'};0.3743398189544678;{'2.548'};1.1449480056762695;{'2.394'};22.511574029922485;{'2.254'};88.71579909324646;{'3.057'};0.5488681793212891;{'2.676'};1.2342462539672852;{'2.52'};33.48446536064148;{'2.37'};103.73117184638977;{'3.313'};0.5537722110748291;{'2.932'};2.184959888458252;{'2.772'};37.656628131866455;{'2.602'};113.18433117866516;{'3.569'};0.6993710994720459;{'3.188'};2.5212209224700928;{'3.024'};52.036620140075684;{'2.834'};102.53050112724304;{'3.697'};0.6376850605010986;{'3.316'};2.2547168731689453;{'3.15'};67.06525421142578;{'2.95'};115.17406797409058
LLX;{'54.912'};0.33148908615112305;{'54.912'};0.5213689804077148;{'26.4'};6.916563987731934;{'26.4'};21.835920810699463;{'1.416'};0.05814504623413086;{'1.012'};0.0831458568572998;{'0.882'};0.9197261333465576;{'0.862'};2.6177308559417725;{'3.759'};0.07694220542907715;{'2.676'};0.12999510765075684;{'1.622'};1.5883150100708008;{'1.582'};3.5714499950408936;{'1.777'};0.11985301971435547;{'1.396'};0.27385592460632324;{'1.26'};2.753051280975342;{'1.21'};8.450497150421143;{'2.033'};0.19535589218139648;{'1.652'};0.35875892639160156;{'1.512'};7.028665065765381;{'1.442'};16.852427005767822;{'2.289'};0.2951171398162842;{'1.908'};0.6121120452880859;{'1.764'};16.10160994529724;{'1.674'};30.144118070602417;{'2.417'};0.3949246406555176;{'2.036'};0.9891729354858398;{'1.89'};19.906488180160522;{'1.79'};30.974050760269165;{'2.673'};0.49465203285217285;{'2.292'};1.4704041481018066;{'2.142'};22.641552209854126;{'2.022'};74.09237480163574;{'2.929'};0.9715602397918701;{'2.548'};4.076985120773315;{'2.394'};76.50995922088623;{'2.254'};159.50531387329102;{'3.057'};1.2591328620910645;{'2.676'};4.447986125946045;{'2.52'};85.20920491218567;{'2.37'};226.08394598960876;{'3.313'};1.975965976715088;{'2.932'};5.561882019042969;{'2.772'};130.39760518074036;{'2.602'};221.02746391296387;{'3.569'};1.9485349655151367;{'3.188'};6.7266669273376465;{'3.024'};125.16090416908264;{'2.834'};306.26276183128357;{'3.697'};2.5277040004730225;{'3.316'};8.835354089736938;{'3.15'};161.254163980484;{'2.95'};303.8715319633484
LPR;{'54.912'};0.46972084045410156;{'54.912'};0.7940249443054199;{'26.4'};7.900779724121094;{'26.4'};28.408643007278442;{'1.416'};0.044985055923461914;{'1.012'};0.1018681526184082;{'0.882'};0.9418790340423584;{'0.862'};2.869753122329712;{'3.759'};0.07527494430541992;{'2.676'};0.1440105438232422;{'1.622'};1.8114101886749268;{'1.582'};6.0074622631073;{'1.777'};0.1664412021636963;{'1.396'};0.3708531856536865;{'1.26'};5.729889631271362;{'1.21'};12.670820951461792;{'2.033'};0.4393038749694824;{'1.652'};1.7137317657470703;{'1.512'};14.920222997665405;{'1.442'};44.78375792503357;{'2.289'};0.7707493305206299;{'1.908'};2.6006510257720947;{'1.764'};27.68130898475647;{'1.674'};122.36359190940857;{'2.417'};1.2240335941314697;{'2.036'};3.8870038986206055;{'1.89'};69.50168204307556;{'1.79'};88.82877326011658;{'2.673'};3.8744521141052246;{'2.292'};8.20328402519226;{'2.142'};198.29655575752258;{'2.022'};286.06018686294556;{'2.929'};24.322491884231567;{'2.548'};60.45935416221619;{'2.394'};2385.673957824707;;;{'3.057'};19.935806274414062;{'2.676'};86.34891295433044;;;;;{'3.313'};63.23347091674805;{'2.932'};412.1390359401703;;;;;{'3.569'};121.06440496444702;{'3.188'};995.3238468170166;;;;;{'3.697'};178.72721695899963;{'3.316'};884.2113671302795;;;;
PRL;{'54.912'};0.19599580764770508;{'54.912'};0.2320089340209961;{'26.4'};4.162998199462891;{'26.4'};11.412228107452393;{'1.416'};0.06253266334533691;{'1.012'};0.07637596130371094;{'0.882'};0.6231410503387451;{'0.862'};1.3181688785552979;{'3.759'};0.0855250358581543;{'2.676'};0.14557814598083496;{'1.622'};1.1030819416046143;{'1.582'};2.325428009033203;{'1.777'};0.13700318336486816;{'1.396'};0.2096569538116455;{'1.26'};1.245492935180664;{'1.21'};4.484276056289673;{'2.033'};0.17143011093139648;{'1.652'};0.3263590335845947;{'1.512'};3.5444588661193848;{'1.442'};10.248573303222656;{'2.289'};0.2686917781829834;{'1.908'};0.5327620506286621;{'1.764'};5.872933864593506;{'1.674'};12.577447891235352;{'2.417'};0.24343419075012207;{'2.036'};0.7207860946655273;{'1.89'};7.176206111907959;{'1.79'};12.782727003097534;{'2.673'};0.5308659076690674;{'2.292'};1.6996500492095947;{'2.142'};11.210665941238403;{'2.022'};35.06941890716553;{'2.929'};0.8306479454040527;{'2.548'};13.70962905883789;{'2.394'};138.8763792514801;{'2.254'};337.43605303764343;{'3.057'};1.596308946609497;{'2.676'};6.076697111129761;{'2.52'};118.31797504425049;{'2.37'};326.86607098579407;{'3.313'};7.407878160476685;{'2.932'};73.48778700828552;{'2.772'};459.08335280418396;{'2.602'};1597.5395059585571;{'3.569'};26.933099031448364;{'3.188'};476.9829580783844;;;;;{'3.697'};15.14756727218628;{'3.316'};189.86646509170532;;;;
PRLX;{'54.912'};0.13442206382751465;{'54.912'};0.20811080932617188;{'26.4'};3.7459628582000732;{'26.4'};10.889026165008545;{'1.416'};0.05663895606994629;{'1.012'};0.0970921516418457;{'0.882'};0.6669130325317383;{'0.862'};2.1686179637908936;{'3.759'};0.07752680778503418;{'2.676'};0.13492202758789062;{'1.622'};1.045583724975586;{'1.582'};2.7506468296051025;{'1.777'};0.12758302688598633;{'1.396'};0.23761415481567383;{'1.26'};1.5520739555358887;{'1.21'};4.823653221130371;{'2.033'};0.19305086135864258;{'1.652'};0.29439282417297363;{'1.512'};2.8022539615631104;{'1.442'};9.449872732162476;{'2.289'};0.2369401454925537;{'1.908'};0.5648679733276367;{'1.764'};4.686219930648804;{'1.674'};10.900499105453491;{'2.417'};0.27752184867858887;{'2.036'};0.8799228668212891;{'1.89'};7.354596853256226;{'1.79'};17.843925952911377;{'2.673'};0.49471306800842285;{'2.292'};1.5486321449279785;{'2.142'};11.31237006187439;{'2.022'};25.506023168563843;{'2.929'};1.151902198791504;{'2.548'};9.236554145812988;{'2.394'};141.2255880832672;{'2.254'};268.84375405311584;{'3.057'};1.1154611110687256;{'2.676'};3.5662219524383545;{'2.52'};147.86844897270203;{'2.37'};378.8271269798279;{'3.313'};1.8103396892547607;{'2.932'};27.367799997329712;{'2.772'};280.0245838165283;{'2.602'};987.3146960735321;{'3.569'};2.466810941696167;{'3.188'};68.24611616134644;{'3.024'};995.994243144989;{'2.834'};1947.404960155487;{'3.697'};2.039355993270874;{'3.316'};85.90582871437073;{'3.15'};1046.8790378570557;;
