Solver;Use case;Sym breaking;#offers;#vars;#constraints;time
Z3;Oryx 2;noSymBreaking;20;165;630;61.5083749294281
Z3;Oryx 2;noSymBreaking;40;165;850;20.15
Z3;Oryx 2;noSymBreaking;250;165;3160;365.77
Z3;Oryx 2;noSymBreaking;500;165;5910;881.34
Z3;SecureBillingEmail;noSymBreaking;20;50;217;0.21
Z3;SecureBillingEmail;noSymBreaking;40;50;317;0.46
Z3;SecureBillingEmail;noSymBreaking;250;50;1367;3.03
Z3;SecureBillingEmail;noSymBreaking;500;50;2617;9.2
Z3;SecureWebContainer;noSymBreaking;20;60;285;0.34
Z3;SecureWebContainer;noSymBreaking;40;60;405;0.85
Z3;SecureWebContainer;noSymBreaking;250;60;1665;11.08
Z3;SecureWebContainer;noSymBreaking;500;60;3165;27.38
Z3;Wordpress3;noSymBreaking;20;80;375;2.26
Z3;Wordpress3;noSymBreaking;40;80;535;7.54
Z3;Wordpress3;noSymBreaking;250;80;2215;223.66
Z3;Wordpress3;noSymBreaking;500;80;4215;547.2
Z3;Wordpress4;noSymBreaking;20;100;465;50.37
Z3;Wordpress4;noSymBreaking;40;100;665;385.17
Z3;Wordpress4;noSymBreaking;250;100;2765;2400
Z3;Wordpress4;noSymBreaking;500;0;0;2400
Z3;Wordpress5;noSymBreaking;20;120;555;2400
Z3;Wordpress5;noSymBreaking;40;0;0;2400
Z3;Wordpress5;noSymBreaking;250;0;0;2400
Z3;Wordpress5;noSymBreaking;500;0;0;2400
Z3;Wordpress6;noSymBreaking;20;0;0;2400
Z3;Wordpress6;noSymBreaking;40;0;0;2400
Z3;Wordpress6;noSymBreaking;250;0;0;2400
Z3;Wordpress6;noSymBreaking;500;0;0;2400
Z3;Wordpress7;noSymBreaking;20;0;0;2400
Z3;Wordpress7;noSymBreaking;40;0;0;2400
Z3;Wordpress7;noSymBreaking;250;0;0;2400
Z3;Wordpress7;noSymBreaking;500;0;0;2400
Z3;Wordpress8;noSymBreaking;20;0;0;2400
Z3;Wordpress8;noSymBreaking;40;0;0;2400
Z3;Wordpress8;noSymBreaking;250;0;0;2400
Z3;Wordpress8;noSymBreaking;500;0;0;2400
Z3;Wordpress9;noSymBreaking;20;0;0;2400
Z3;Wordpress9;noSymBreaking;40;0;0;2400
Z3;Wordpress9;noSymBreaking;250;0;0;2400
Z3;Wordpress9;noSymBreaking;500;0;0;2400
Z3;Wordpress10;noSymBreaking;20;0;0;2400
Z3;Wordpress10;noSymBreaking;40;0;0;2400
Z3;Wordpress10;noSymBreaking;250;0;0;2400
Z3;Wordpress10;noSymBreaking;500;0;0;2400
Z3;Wordpress11;noSymBreaking;20;0;0;2400
Z3;Wordpress11;noSymBreaking;40;0;0;2400
Z3;Wordpress11;noSymBreaking;250;0;0;2400
Z3;Wordpress11;noSymBreaking;500;0;0;2400
Z3;Wordpress12;noSymBreaking;20;0;0;2400
Z3;Wordpress12;noSymBreaking;40;0;0;2400
Z3;Wordpress12;noSymBreaking;250;0;0;2400
Z3;Wordpress12;noSymBreaking;500;0;0;2400
Z3;Oryx 2;PR;20;165;641;0.4357872009277344
Z3;Oryx 2;PR;40;165;861;1.2133986949920654
Z3;Oryx 2;PR;250;165;3171;3.8914334774017334
Z3;Oryx 2;PR;500;165;5921;10.083740472793579
Z3;SecureBillingEmail;PR;20;50;221;0.11501145362854004
Z3;SecureBillingEmail;PR;40;50;321;0.3343515396118164
Z3;SecureBillingEmail;PR;250;50;1371;0.7997021675109863
Z3;SecureBillingEmail;PR;500;50;2621;2.2995378971099854
Z3;SecureWebContainer;PR;20;60;290;0.12829208374023438
Z3;SecureWebContainer;PR;40;60;410;0.4115755558013916
Z3;SecureWebContainer;PR;250;60;1670;1.8000106811523438
Z3;SecureWebContainer;PR;500;60;3170;3.236534833908081
Z3;Wordpress3;PR;20;80;384;0.2723534107208252
Z3;Wordpress3;PR;40;80;544;0.6934061050415039
Z3;Wordpress3;PR;250;80;2224;1.360107660293579
Z3;Wordpress3;PR;500;80;4224;4.266460180282593
Z3;Wordpress4;PR;20;100;477;0.40653395652770996
Z3;Wordpress4;PR;40;100;677;1.3366830348968506
Z3;Wordpress4;PR;250;100;2777;3.9152309894561768
Z3;Wordpress4;PR;500;100;5277;12.262326002120972
Z3;Wordpress5;PR;20;120;570;0.5953686237335205
Z3;Wordpress5;PR;40;120;810;2.226260185241699
Z3;Wordpress5;PR;250;120;3330;12.165214538574219
Z3;Wordpress5;PR;500;120;6330;22.857462167739868
Z3;Wordpress6;PR;20;130;617;0.8220510482788086
Z3;Wordpress6;PR;40;130;877;2.403015613555908
Z3;Wordpress6;PR;250;130;3607;11.369475841522217
Z3;Wordpress6;PR;500;130;6857;25.964120388031006
Z3;Wordpress7;PR;20;150;710;1.1489124298095703
Z3;Wordpress7;PR;40;150;1010;4.781457424163818
Z3;Wordpress7;PR;250;150;4160;23.93044686317444
Z3;Wordpress7;PR;500;150;7910;46.051082372665405
Z3;Wordpress8;PR;20;180;850;1.950683355331421
Z3;Wordpress8;PR;40;170;1143;15.907603740692139
Z3;Wordpress8;PR;250;170;4713;139.66807007789612
Z3;Wordpress8;PR;500;170;8963;260.43830823898315
Z3;Wordpress9;PR;20;180;850;1.9720909595489502
Z3;Wordpress9;PR;40;180;1210;15.624880075454712
Z3;Wordpress9;PR;250;180;4990;273.2807648181915
Z3;Wordpress9;PR;500;180;9490;375.2862777709961
Z3;Wordpress10;PR;20;200;943;5.946900129318237
Z3;Wordpress10;PR;40;200;1343;62.43739318847656
Z3;Wordpress10;PR;250;200;5543;492.0916805267334
Z3;Wordpress10;PR;500;200;10543;2400
Z3;Wordpress11;PR;20;220;1036;27.237653255462646
Z3;Wordpress11;PR;40;220;1476;216.74394369125366
Z3;Wordpress11;PR;250;220;6096;2078.363980293274
Z3;Wordpress11;PR;500;0;0;2400
Z3;Wordpress12;PR;20;230;1083;28.434858560562134
Z3;Wordpress12;PR;40;230;1543;225.29635763168335
Z3;Wordpress12;PR;250;230;6373;1755.924046754837
Z3;Wordpress12;PR;500;0;0;2400
Z3;Oryx 2;LX;20;165;730;0.33492398262023926
Z3;Oryx 2;LX;40;165;950;1.2650518417358398
Z3;Oryx 2;LX;250;165;3260;10.754012107849121
Z3;Oryx 2;LX;500;165;6010;39.01543998718262
Z3;SecureBillingEmail;LX;20;50;237;0.15975022315979004
Z3;SecureBillingEmail;LX;40;50;337;0.438525915145874
Z3;SecureBillingEmail;LX;250;50;1387;2.612161874771118
Z3;SecureBillingEmail;LX;500;50;2637;7.70821213722229
Z3;SecureWebContainer;LX;20;60;310;0.15541410446166992
Z3;SecureWebContainer;LX;40;60;430;0.5986959934234619
Z3;SecureWebContainer;LX;250;60;1690;3.3455963134765625
Z3;SecureWebContainer;LX;500;60;3190;6.702375888824463
Z3;Wordpress3;LX;20;80;410;0.32486796379089355
Z3;Wordpress3;LX;40;80;570;1.153568983078003
Z3;Wordpress3;LX;250;80;2250;7.098653078079224
Z3;Wordpress3;LX;500;80;4250;29.447376012802124
Z3;Wordpress4;LX;20;100;510;0.5930109024047852
Z3;Wordpress4;LX;40;100;710;2.090909004211426
Z3;Wordpress4;LX;250;100;2810;13.647672891616821
Z3;Wordpress4;LX;500;100;5310;54.50003528594971
Z3;Wordpress5;LX;20;120;610;0.8759422302246094
Z3;Wordpress5;LX;40;120;850;2.980531930923462
Z3;Wordpress5;LX;250;120;3370;18.115657091140747
Z3;Wordpress5;LX;500;120;6370;77.51454210281372
Z3;Wordpress6;LX;20;130;660;1.1675891876220703
Z3;Wordpress6;LX;40;130;920;4.498311996459961
Z3;Wordpress6;LX;250;130;3650;24.254438161849976
Z3;Wordpress6;LX;500;130;6900;117.47041821479797
Z3;Wordpress7;LX;20;150;760;1.6842360496520996
Z3;Wordpress7;LX;40;150;1060;6.05319619178772
Z3;Wordpress7;LX;250;150;4210;40.69882869720459
